bx,by,bz
42.845,2.252,1.186
42.833,2.263,1.186
42.826,2.244,1.178
42.822,2.256,1.158
42.825,2.248,1.159
42.834,2.237,1.142
42.849,2.226,1.135
42.868,2.21,1.139
42.896,2.188,1.123
42.931,2.169,1.122
42.88,2.199,1.185
42.857,2.214,1.178
42.837,2.241,1.178
42.83,2.237,1.182
42.829,2.233,1.166
42.833,2.225,1.171
42.845,2.218,1.162
42.857,2.207,1.158
42.872,2.195,1.17
42.892,2.18,1.158
42.927,2.165,1.174
42.872,2.188,1.131
42.848,2.203,1.143
42.837,2.222,1.151
42.829,2.218,1.151
42.829,2.229,1.139
42.833,2.225,1.147
42.844,2.21,1.147
42.856,2.199,1.143
42.868,2.199,1.151
42.879,2.176,1.151
42.906,2.165,1.187
42.844,2.191,1.104
42.84,2.195,1.124
42.836,2.214,1.132
42.833,2.214,1.136
42.829,2.214,1.12
42.836,2.214,1.128
42.844,2.21,1.124
42.852,2.199,1.124
42.855,2.195,1.136
42.856,2.184,1.136
42.856,2.18,1.183
42.805,2.184,1.136
42.832,2.21,1.144
42.84,2.229,1.136
42.836,2.233,1.124
42.832,2.233,1.113
42.836,2.229,1.12
42.843,2.218,1.117
42.856,2.21,1.109
42.859,2.214,1.113
42.848,2.21,1.097
42.801,2.214,1.117
42.804,2.195,1.219
42.855,2.229,1.16
42.859,2.248,1.124
42.843,2.244,1.098
42.832,2.244,1.085
42.832,2.237,1.101
42.844,2.218,1.109
42.867,2.214,1.097
42.883,2.214,1.081
42.874,2.214,1.027
42.797,2.229,0.971
42.683,2.293,1.231
42.723,2.328,1.219
42.738,2.37,1.227
42.742,2.381,1.223
42.742,2.381,1.199
42.75,2.385,1.196
42.761,2.389,1.18
42.762,2.389,1.168
42.754,2.393,1.164
42.719,2.423,1.137
42.653,2.453,1.05
42.726,2.312,1.294
42.738,2.331,1.251
42.746,2.355,1.235
42.749,2.362,1.216
42.754,2.374,1.188
42.761,2.374,1.173
42.769,2.378,1.165
42.773,2.374,1.137
42.781,2.374,1.129
42.784,2.381,1.07
42.8,2.389,0.984
42.781,2.324,1.282
42.769,2.339,1.243
42.769,2.351,1.224
42.773,2.355,1.2
42.777,2.359,1.177
42.781,2.355,1.168
42.793,2.359,1.145
42.8,2.362,1.122
42.816,2.359,1.106
42.839,2.351,1.055
42.89,2.34,1.008
42.819,2.32,1.255
42.8,2.327,1.227
42.789,2.347,1.212
42.785,2.34,1.192
42.789,2.344,1.169
42.796,2.344,1.161
42.808,2.344,1.141
42.827,2.336,1.118
42.847,2.331,1.109
42.877,2.324,1.075
42.925,2.316,1.066
42.839,2.312,1.224
42.82,2.331,1.204
42.803,2.347,1.193
42.8,2.331,1.176
42.803,2.34,1.158
42.807,2.336,1.157
42.819,2.332,1.138
42.839,2.32,1.125
42.858,2.309,1.114
42.889,2.297,1.091
42.928,2.293,1.09
42.855,2.293,1.184
42.827,2.312,1.185
42.812,2.327,1.18
42.812,2.312,1.169
42.812,2.324,1.153
42.815,2.331,1.145
42.831,2.32,1.141
42.847,2.301,1.134
42.87,2.293,1.129
42.897,2.278,1.118
42.94,2.263,1.114
42.863,2.282,1.18
42.835,2.29,1.177
42.819,2.312,1.178
42.816,2.312,1.173
42.816,2.312,1.157
42.819,2.305,1.166
42.831,2.305,1.153
42.846,2.29,1.153
42.869,2.274,1.162
42.897,2.252,1.153
42.94,2.229,1.165
42.855,2.256,1.121
42.831,2.263,1.137
42.815,2.29,1.141
42.815,2.297,1.142
42.815,2.297,1.134
42.823,2.305,1.134
42.831,2.293,1.137
42.842,2.278,1.138
42.854,2.278,1.149
42.877,2.259,1.154
42.916,2.24,1.189
42.819,2.244,1.086
42.814,2.259,1.115
42.815,2.286,1.126
42.815,2.286,1.13
42.811,2.293,1.114
42.819,2.297,1.126
42.827,2.293,1.122
42.842,2.293,1.126
42.847,2.29,1.141
42.85,2.271,1.146
42.858,2.259,1.205
42.776,2.221,1.114
42.807,2.259,1.142
42.823,2.286,1.138
42.823,2.301,1.13
42.823,2.305,1.118
42.827,2.308,1.122
42.835,2.305,1.114
42.842,2.301,1.111
42.846,2.301,1.119
42.823,2.305,1.106
42.776,2.305,1.153
42.757,2.218,1.212
42.827,2.271,1.173
42.839,2.308,1.134
42.834,2.312,1.11
42.827,2.32,1.087
42.831,2.312,1.098
42.839,2.297,1.086
42.858,2.293,1.074
42.867,2.297,1.058
42.85,2.312,1.008
42.754,2.351,0.972
42.625,2.324,1.235
42.68,2.382,1.191
42.708,2.435,1.191
42.72,2.446,1.187
42.731,2.461,1.163
42.736,2.465,1.167
42.747,2.461,1.147
42.74,2.484,1.135
42.717,2.507,1.122
42.674,2.545,1.064
42.608,2.59,0.938
42.698,2.37,1.287
42.714,2.389,1.228
42.729,2.415,1.2
42.738,2.434,1.188
42.749,2.443,1.153
42.753,2.454,1.145
42.761,2.45,1.121
42.765,2.458,1.093
42.765,2.465,1.07
42.769,2.484,1.007
42.8,2.48,0.893
42.769,2.385,1.274
42.754,2.396,1.226
42.758,2.415,1.202
42.762,2.419,1.175
42.765,2.427,1.144
42.773,2.43,1.136
42.785,2.427,1.108
42.796,2.434,1.078
42.816,2.43,1.058
42.839,2.434,1.007
42.909,2.419,0.948
42.804,2.381,1.238
42.788,2.4,1.203
42.781,2.415,1.184
42.781,2.411,1.168
42.788,2.415,1.137
42.8,2.415,1.129
42.812,2.408,1.106
42.827,2.404,1.082
42.847,2.396,1.066
42.878,2.392,1.035
42.94,2.389,1.019
42.827,2.37,1.192
42.807,2.381,1.173
42.8,2.396,1.165
42.8,2.389,1.153
42.804,2.4,1.125
42.807,2.396,1.126
42.822,2.392,1.106
42.842,2.377,1.09
42.865,2.373,1.079
42.9,2.362,1.056
42.939,2.366,1.055
42.838,2.351,1.158
42.823,2.366,1.15
42.815,2.385,1.142
42.807,2.37,1.137
42.81,2.385,1.122
42.818,2.388,1.118
42.834,2.373,1.107
42.853,2.354,1.099
42.881,2.343,1.099
42.912,2.332,1.083
42.946,2.313,1.072
42.846,2.328,1.153
42.826,2.343,1.15
42.814,2.354,1.154
42.811,2.358,1.154
42.814,2.366,1.138
42.822,2.369,1.143
42.841,2.362,1.131
